Persona-1, 00:18:27.926897, 00:18:27.926915
Persona-4, 00:18:27.927308, 00:18:29.927956
Persona-18, 00:18:27.929036, 00:18:45.941040
Persona-23, 00:18:27.929480, 00:18:47.943281
Persona-22, 00:18:27.929370, 00:18:55.948467
Persona-24, 00:18:27.929559, 00:18:57.950488
Persona-29, 00:18:49.944298, 00:18:59.950962
Persona-26, 00:18:31.930112, 00:19:01.953252
Persona-28, 00:18:47.943223, 00:19:03.954466
